detokenize_text,sentimen
gin begal lawan menang begal mati penjara cacat logika ngurus ruu ampas aset urus ginian haha kasi rakyat,negatif
nyari draft final ruu ampas aset nemu,negatif
pas ruu ampas aset muncul kagak bacot twitter demo nya kontol,negatif
ketok palu partai kontra nolak ruu ampas aset,negatif
nunggui ruu ampas aset sita negara duit koruptor sembunyiin negri,positif
lihat jelang pilkada coba rakyat bukti ruu ampas aset sah partai partai dpr,negatif
puan maharani ruu ampas aset koruptor tanda tangan wapres nya prabowo rakyat sengsara,negatif
ruu ampas aset kunci nyita harta orba,positif
negara dapet duit sahkan ruu ampas aset koruptor jual tanah air,positif
isu sampah nebeng pesawat tutup fakta nebeng nasab tolak ruu ampas aset,negatif
mending desak ruu ampas aset bro ketimbang,positif
ayo dukung ruu ampas aset sah sang putri pengaruh resiko,positif
jhon berani suara ruu ampas aset sah dpr urus orba politik,positif
kaum kadrun budak cendana babi buta jabat presiden jokowi hasil numbangin presiden jabat bandar tekor ruu ampas aset tohok,negatif
inti ruu ampas aset sah periode,negatif
hoaks prabowo penjara orang tolak ruu ampas aset,positif
arti ruu ikn presiden dpr cepat wujud ruu ampas aset rakyat dpr pura pura bodoh masuk,negatif
isu fufufafa cipta tutup isu nebeng nasab isu pdip tolak asah ruu ampas aset,negatif
skarang dpr wakli rakyat dpr sahkan ruu ampas aset koruptor rakyat koruptor rusak negara rugi rakyat dpr wakil rakyat mere,negatif
didih usaha maksimal ruu ampas aset sah mustahil pusingin uda koruptor lindung,negatif
formappi nasib ruu ampas aset gantung political prabowo,negatif
nguliknya search timeline pakai keyword ketua dpr ruu ampas aset tebar kritik pdip muncul kritik partai,negatif
hahahaha liat berani bpknya ajh dpr buru bahas ruu ampas aset anak,negatif
bukti omong orasi olah pling bner menginfluense sluruh anggota dpr secptnya sah ruu ampas aset koruptor ksana kmari bicara sejarah manusia lihat,positif
keluarga terima gratifikasi private jet gratifikasi akar korupsi kuat suara dpr mesti jokowi mudah kesah ruu ampas aset fakta perintah,negatif
langsung bukti nyata sah ruu ampas aset koruptor,positif
