detokenize_text,sentimen
begal lawan menang begal mati penjara cacat logika urus ruu rampas aset tidak urus haha kasihan rakyat,negatif
cari draf final ruu rampas aset belum ketemu,negatif
ruu rampas aset muncul tidak bacot twitter tidak demo nya kontol,negatif
ketok palu partai kontra nolak ruu rampas aset,negatif
iya tunggu ruu rampas aset sita negara duit koruptor sembunyi negeri,positif
lihat jelang pilkada coba rakyat bukti ruu rampas aset belum sah partai partai dpr,negatif
puan maharani ruu rampas aset koruptor tidak tanda tangan wapres nya prabowo rakyat sengsara,negatif
ruu rampas aset kunci sita harta orde,positif
negara duit sahkan ruu rampas aset koruptor tidak jual tanah air,positif
isu sampah tumpang pesawat tutup fakta tumpang nasab tolak ruu rampas aset,negatif
mending desak ruu rampas aset saudara ketimbang,positif
ayo dukung ruu rampas aset sah sang putri pengaruh resiko,positif
jhon berani suara ruu rampas aset sah dpr urus orde politik,positif
kaum kadrun budak cendana babi buta jabat presiden jokowi tidak hasil tumbang presiden belum jabat bandar tekor ruu rampas aset tohok,negatif
inti ruu rampas aset belum sah periode,negatif
hoaks prabowo penjara orang tolak ruu rampas aset,positif
arti ruu ikn presiden dpr cepat wujud ruu rampas aset rakyat dpr pura pura bodoh tidak masuk,negatif
isu fufufafa cipta tutup isu tumpang nasab isu pdip tolak asah ruu rampas aset,negatif
dpr wakli rakyat dpr tidak sahkan ruu rampas aset koruptor rakyat koruptor rusak negara rugi rakyat dpr wakil rakyat mere,negatif
didih tidak usaha maksimal ruu rampas aset sah mustahil jangan pusingin udah koruptor lindung,negatif
formappi nasib ruu rampas aset gantung political prabowo,negatif
nguliknya kurang search timeline pakai keyword ketua dpr ruu rampas aset tebar kritik pdip muncul kritik partai,negatif
hahahaha liat berani dpr buru bahas ruu rampas aset anak,negatif
bukti omong tidak orasi olah menginfluense anggota dpr cepat mengsahkan ruu rampas aset koruptor tidak kesana kemari bicara sejarah manusia lihat,positif
keluarga terima gratifikasi private jet gratifikasi akar korupsi kuat suara dpr mesti jokowi mudah kesah ruu rampas aset fakta perintah tidak,negatif
langsung bukti nyata sah ruu rampas aset koruptor,positif
goblok iya blok ketokmen utekmu neng dengkul sahkan ruu rampas aset jangan kokean omong ming nggo alih isu presiden serius rampung ruu rampas aset ayo buktiin jangan omong omong,positif
kirain demo ruu rampas aset koruptor,negatif
moga good beliau pimpin tunggu sah ruu rampas aset moga cepat wujud biar tikus das mikir kalaun korupsi tidak hukum mati bagus nominal biar tidak nyal,positif
ruu rampas aset koruptor dorong dpr,positif
bela rakyat,negatif
sahkan ruu rampas aset bang,positif
semangat anti korupsi korea dealnya pimpin partai deal kuasa ruu rampas aset koruptor henti rakyat harap,negatif
ruu rampas aset omdo,negatif
ruu rampas aset koruptor cepat selesai dasawarsa jalan,negatif
ruu rampas aset selesai,positif
dpr tidak wibawa lemah sejarah ruu rampas aset koruptor tidak sentuh pansus haji,negatif
update kesah ruu rampas aset koruptor henti mohon,negatif
ruu rampas aset urusin zer buzzer orang berita duka,positif
tuju ruu rampas aset koruptor,positif
wajib bubar kesah ruu tuntung gilir ruu lindung art belum sah btw request rampas aset penggunaaan uang kartal sah presiden,negatif
sahkan ruu rampas aset indepensi kpk usut tuntas jahat,positif
perintah duit mengsahkan ruu rampas aset sayang dpr presiden suka mengsahkan ciptakerja menteri jual pasir,negatif
desak ruu rampas aset koruptor sah jabat bukti korupsi harta sita negara,positif
arti tidak setuju rampas aset rakyat politisi rumit,negatif
aduh turun buka tidak hancur ayo proses ruu rampas aset biar tutup hutang negara,positif
ruu rampas aset coba deh partai kubu jokowi mayoritas dpr tuju gampang,negatif
sistem tega hukum ketat sahkan ruu rampas aset gaji ditauin korupsi hukum mati miskin calon koruptor mikir coba negara,positif
presiden dorong kesah ruu rampas aset khilaf malam minggu papua zirkzee,positif
presiden dorong kesah ruu rampas aset khilaf minggir miskin malam minggu,positif
baca draf final ruu rampas aset baca tidak sahkan ruu pegawai negeri selenggara negara cepat sahkan,negatif
puan ruu rampas aset orang wni bukan jabat harta sita transfer koruptor bukti adil,negatif
fyi ruu rampas aset orang wni bukti korupsi terima uang koruptor bukti uang transfer koruptor bukan hasil korupsi koruptor adil tid,negatif
fokus video replay ruu rampas aset sah ruuperampasanaset korupsi ppatk kpk fokus tvtempo,positif
desak dpr ruu rampas aset sah ayo demo kaya kemarin darurat ruu henti dpr,positif
ruu rampas aset dorong ayo trending kaya darurat kemarin ayo demo mahasiswa rakyat biar adil,positif
kim kuat ruu rampas aset sah kuasa dpr khan,negatif
dokter komentar ruu rampas aset koruptor hambat koloni idp,negatif
koar ruu rampas aset kemarin ramai demo tidak muncul nunggu format,negatif
bener orang tolol otak simpan bukan pakai pikir partai nolak ruu langsung tidak wkwkw cilaka kabar ruu rampas aset kabar wkswkwkwk tolol,negatif
minimal tolol disimpen jangan umbar pikir cilaka nolak otomatis batal arti emng kuasa kaga niat ruu rampas aset hadeuh,negatif
ketua dpr nya suami korupsi bts inisiasi ruu rampas aset,negatif
tidak demo tuntut sah ruu rampas aset koruptor,positif
waras motor gerak gebrak ruu rampas aset rampas aset saudara,positif
hoaks prabowo penjara anggota dpr tolak ruu rampas aset,negatif
ruu rampas aset koruptor dpr gol koruptor aman,negatif
dukung ruu rampas aset bijak naikin harga beras,negatif
ruu rampas aset niat jokowi kim plus sahkan tanpa pdip salah pdip pdip tidak laku penuh korum,negatif
tidak berani bahas ruu rampas aset koruptor jangan kesah bahas alergi,negatif
tunggu darurat ruu rampas aset,positif
ruu rampas aset diam skb menteri rumah ibadah diam,negatif
gadang gadang ruu rampas aset gibranbocilpengecut gibranbocilpengecut,negatif
bangun negara partai kesah ruu rampas aset bukti,positif
hasil kerja menteri mark harga bos nya sok bersih dukung ruu rampas aset jokowi bersih menteri,negatif
ruu dpr dpd perintah cipta kerja bukan dpr perintah usul ruu rampas aset mayoritas partai dukung perintah mayoritas ruu rampas aset tidak,negatif
mudah demo ruu rampas aset,negatif
bingung nya berantas korupsi sii jalan pikir nya iya korupsi anak jabat bodoh ruu rampas aset henti,negatif
tidak berani mengsahkan ruu rampas aset takut senjata makan tuan,negatif
mahasiswa nyata bukan rumor gosip demo pesan bem demo pres jokowi alumni ketua bem gabung partai pkb bohir mahasiswa alergi demo ruu rampas aset koruptor,negatif
ruu posisi jabat dpr cepat banget kerja nya ruu rampas aset,negatif
tidak bahas ruu rampas aset,negatif
model cepat mecahin record semalem ruu pilkada untung rakyat demo coba kerja super cepat ruu rampas aset fufufu ngemeng unlimited tri,negatif
saking takut ruu rampas aset makan tuan,negatif
neh bocah kelompok berani nyuarain ruu rampas aset jilat ludahnye die,negatif
request langsung kabul anak mulyono nuntut mahasiswa demo ruu rampas aset tinggal mul wowo,negatif
ari ruu rampas aset meni lila disahkeunna,positif
mas peristiwa gratifikasi kaesang salah alas ruu rampas aset tidak bahas utama dpr sah,negatif
tinggal nunggu ruu rampas aset sahkan,positif
buzzer lucknut koar ruu rampas aset,negatif
negara rugi oknum korupsi bang bang desak kesah ruu rampas aset diam tidak peduli pura pura tuli buta,negatif
andai ruu rampas aset sat set sah,positif
ruu rampas aset bicara partai tidak suruh koalisi,negatif
ruu pilkada ruu tri cepat sah ruu rampas aset tidak waras koalisi jokowi prabowo kuasa dpr tidak niat ceboker pdip dasar bodoh dpr sahkan ruu menteri negara prabowo,negatif
ruu rampas aset tidak sah,negatif
ruu rampas aset sah biar korupsi mikir ribu kali,positif
puan maharani ketua sosok sah ruu rampas aset koruptor puan laga pilon indonesian darurat korupsi,negatif
ruu rampas aset koruptor negara indonesia negara hukum sistem perintah laksana demokrasi bukan negara demokrasi jangan,negatif
untung kerja cepat btw psi,negatif
konteks nyata nyata salah lengkap lawanhoax turnbackhoax mafindo,negatif
prabowo penjara anggota dpr tolak ruu rampas aset postingan rupa tangkap layar judul artikel periksa fakta mafindo manipulasi hilang tanda salah,negatif
ruu rampas aset mudah jegal lawan politik ngeri aset langsung sita tebang pilih,negatif
demo perihal ruu rampas aset koruptor tidak gubris gaji rakyat kerja bukan rakyat gaya hidup mewah,negatif
gera politik mati desak meng gol ruu rampas aset kawan kawan lipatgandakan desa ruu perampasanaset masuk prolegnas jokowi doorstop desak ruu,positif
naah kim plus wujud partai jangan salah pdi melulu niat tidak anggota dewan sahkan ruu rampas aset koruptor kerja laku,positif
ruu rampas aset hukum mati koruptor tidak kurang,positif
yah tidak ngomong buzzer cap tikus suruh sahkan ruu rampas aset dominan suara dpr dominan tidak,positif
nasib ruu rampas aset kliping dokumentasi hukum kpk korupsi jagung menkeu,negatif
saking malu buzzer abah belepotan kesana kemari teriak harun mas ruu prt rampas aset tidak tonton cerita tonton tidak nyantel gampang dikibulin waras oke tunggu proses hukumn,negatif
solusi tinggal sahkan ruu rampas aset koruptor susah korupsi,positif
indonesia tum koruptor happy happy main mata hakim masuk penjara kamar first class aaetnya tidak sita vonis rang bebas cepat ratus miliar ruu rampas aset,negatif
ahay kader tahan jagung jabat kantong uang hasil proyek bekas bayang proyek proyek bayar kabar harap ruu rampas aset partai bahlul,negatif
aneh banggar dpr tidak masuk ruu rampas aset koruptor prolegnas,negatif
khabar ruu rampas aset mpok dpr colong muluk jabat korupsi,negatif
mba ayo ria ruu rampas,positif
ruu rampas aset laku habis miskin kader banteng,negatif
mulyono dorong ruu rampas aset parpol koalisi dukung nya tidak setuju,negatif
nahh jelasinn temen balesan nya anak abah tolol dihh anak abah dihh korupsi bela penjara coba ruu rampas aset tidak kunjung ituu,negatif
gembar gembor ruu rampas aset suara,positif
istimewa ayo kelompok ria ruu rampas aset jangan ramai negasi aksi mahasiswa belum,positif
wakil ketua badan legislasi baleg dpr ahmad dol kurnia dpr tidak tolak bahas rancang undang undang ruu rampas aset ruu rampas aset tidak daftar usul ruu dpr masuk program legislasi nasional,negatif
dukung visi anti korupsi presiden prabowo aleg pks dorong ruu rampas aset masuk prolegnas prioritas dukung visi anti korupsi presiden dorong ruu rampas aset masuk prolegnas prioritas muhammad kholid,positif
ruu ubah bentuk atur undang undang ruu mha ruu kumpul ruu rampas aset,positif
bincang teman teman bicara berantas korupsi tanpa ruu rampas aset jangan simpul dpr tolak ruu rampas aset terima rampas aset,negatif
jabat korupsi kesah ruu rampas aset,positif
