conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.84023885884546E+018,Sun Sep 29 15:28:58 +0000 2024,0,@Heraloebss Gini ya ada begal kita lawan kita menang begal mati kita dipenjara cacat logika emg ngurus RUU perampasan aset aja ga diurus apalagi hal ginian haha kasian rakyat ku,1.84041346894577E+018,,Heraloebss,in,,0,0,0,https://x.com/undefined/status/1840413468945776675,591490521,
1.84034146547157E+018,Sun Sep 29 10:42:51 +0000 2024,0,nyari draft final ruu perampasan aset sampai sekarang belum nemu️,1.84034146547157E+018,,,in,,0,0,0,https://x.com/undefined/status/1840341465471574282,7.15772522789269E+017,
1.8402175657272E+018,Sun Sep 29 07:59:45 +0000 2024,0,@gandjar_bondan Pas RUU Perampasan aset lu kemana nongol kagak bacot doang di Twitter gak ada DEMO2 nya kontol,1.84030041760928E+018,,gandjar_bondan,in,,0,0,0,https://x.com/undefined/status/1840300417609281913,1.5086929969337E+018,
1.83990388256005E+018,Sat Sep 28 16:11:15 +0000 2024,0,@isoetardjo05 @fernandez171778 yg bisa ketok palu kan dr partai yg kontra dan nolak ruu perampasan aset,1.84006171892978E+018,,isoetardjo05,in,,0,2,0,https://x.com/undefined/status/1840061718929780957,1.18469543836597E+018,
1.83990388256005E+018,Sat Sep 28 15:59:19 +0000 2024,0,@isoetardjo05 @fernandez171778 ia kan nunggui ruu perampasan aset jd bisa di sita negara duit koruptor yg di sembunyiin di luar negri,1.8400587165547E+018,,isoetardjo05,in,,0,2,0,https://x.com/undefined/status/1840058716554703336,1.18469543836597E+018,
1.83964348530317E+018,Sat Sep 28 12:41:35 +0000 2024,0,@Boediantar4 Sudah biasa lihat begini menjelang Pilkada mencoba mendekat ke kepentingan rakyat. Buktinya RUU Perampasan aset belum disahkan partai-partai di DPR.,1.84000895426669E+018,,Boediantar4,in,,0,0,0,https://x.com/undefined/status/1840008954266693705,129010894,
1.83957804651872E+018,Sat Sep 28 12:18:15 +0000 2024,0,@DedynurPalakka @gibran_tweet Dari pada puan Maharani ruu perampasan aset bagi koruptor aja ngga di tanda tangani apa lagi jadi wapres nya pak Prabowo yang ada rakyat sengsara,1.84000308497578E+018,,DedynurPalakka,in,,0,0,0,https://x.com/undefined/status/1840003084975780165,1.3337029041511E+018,
1.83995237744264E+018,Sat Sep 28 10:21:08 +0000 2024,0,@reza_syrt Ruu perampasan aset kuncinya da nyita harta orba 32 tahun,1.83997361188259E+018,,reza_syrt,in,,0,0,0,https://x.com/undefined/status/1839973611882590279,1.37292532104169E+018,
1.8398346989333E+018,Sat Sep 28 02:13:36 +0000 2024,1,@tempodotco Negara mau dapet duit banyak ? Sahkan ruu perampasan aset koruptor ga usah jual tanah air segala.,1.83985091865075E+018,,tempodotco,in,,0,0,0,https://x.com/undefined/status/1839850918650753032,62184923,
1.83983236934965E+018,Sat Sep 28 00:59:53 +0000 2024,0,Isu sampah nebeng pesawat hanya untuk menutupi fakta nebeng nasab dan penolakan RUU Perampasan Aset https://t.co/0bwRkcvKR7,1.83983236934965E+018,,,in,,0,0,0,https://x.com/undefined/status/1839832369349656976,1.74393952167336E+018,
1.83935160613301E+018,Fri Sep 27 17:45:10 +0000 2024,0,@Andria75777 Mending lu desak ruu perampasan aset bro yg lbh lbh lbh penting ketimbang ini,1.83972296642859E+018,,Andria75777,in,,0,0,0,https://x.com/undefined/status/1839722966428594192,1.69836215639021E+018,
1.83966326805252E+018,Fri Sep 27 15:51:38 +0000 2024,0,@JhonSitorus_18 Bung ayo dukung ruu perampasan aset agar disahkan sang putri cs. Pengaruhmu ckp besar loh. Tp resikonya tau sendiri ya.. ,1.83969439565185E+018,,JhonSitorus_18,in,,0,0,0,https://x.com/undefined/status/1839694395651850624,1.60438645860886E+018,
1.83919790660951E+018,Fri Sep 27 15:47:31 +0000 2024,0,@JhonSitorus_18 Yg penting bung Jhon S berani bersuara minta ruu perampasan aset disahkan DPR daripada urus orba politik saja.,1.83969335984744E+018,,JhonSitorus_18,in,,0,0,0,https://x.com/undefined/status/1839693359847444799,1.60438645860886E+018,
1.83912939796366E+018,Fri Sep 27 15:35:51 +0000 2024,0,@Joe_Wiet @PngAdilnR4kyt Kaum kadrun dan budak2 Cendana membabi buta di akhir²masa jabatan presiden Jokowi. Krn kalo gak berhasil numbangin presiden sebelum masa jabatan.. bandar tekor n RUU perampasan aset pasti akan menohok mereka,1.83969042263096E+018,,Joe_Wiet,in,,0,0,0,https://x.com/undefined/status/1839690422630965570,8.89804756209643E+017,
1.83949831554698E+018,Fri Sep 27 11:18:43 +0000 2024,0,@demitfrekuensi intinya soal ruu perampasan aset belum bisa sah di periode ini ya,1.83962571223743E+018,,demitfrekuensi,in,,0,0,0,https://x.com/undefined/status/1839625712237437004,34568077,
1.83960444227622E+018,Fri Sep 27 09:54:11 +0000 2024,1,Hoaks Prabowo Penjarakan Orang yang Tolak RUU Perampasan Aset https://t.co/9Ca8etLa3y,1.83960444227622E+018,,,in,,0,0,0,https://x.com/undefined/status/1839604442276225313,4187275698,
1.83949823911838E+018,Fri Sep 27 06:16:40 +0000 2024,0,@SyarifullahDja1 @zxc757131 JELAS !!! Jawaban Anda mengartikan semuanya Ketika ada RUU IKN yang jadi KEMAUAN PRESIDEN .. DPR sangat cepat bisa mewujudkan TAPI ketika ada RUU Perampasan Aset yang jadi KEMAUAN RAKYAT .. DPR pura pura Bego .. ga pernah masuk,1.83954970262412E+018,,SyarifullahDja1,in,,0,1,0,https://x.com/undefined/status/1839549702624121086,1.52949145060576E+018,
1.83954676268578E+018,Fri Sep 27 06:05:00 +0000 2024,0,Isu Fufufafa diciptakan hanya untuk menutupi isu nebeng nasab dan isu PDIP menolak pengasahan RUU Perampasan Aset https://t.co/AR2hi4njC9,1.83954676268578E+018,https://pbs.twimg.com/media/GYdiBVhbwAAbia4.jpg,,in,,0,0,0,https://x.com/undefined/status/1839546762685784299,1.74393952167336E+018,
1.83949823911838E+018,Fri Sep 27 05:35:59 +0000 2024,1,@zxc757131 @SyarifullahDja1 Skarang Gua tanya .. Kalau DPR itu Wakli Rakyat .. KENAPA DPR GAK SAHKAN RUU PERAMPASAN ASET KORUPTOR ??!!! Kita semua Rakyat tau Bahwa Koruptor itu MERUSAK NEGARA dan MERUGIKAN RAKYAT Kalau DPR itu WAKIL RAKYAT ... Kenapa Mere,1.83953946345145E+018,,zxc757131,in,,0,2,0,https://x.com/undefined/status/1839539463451455957,1.52949145060576E+018,
1.83882744670108E+018,Fri Sep 27 02:27:41 +0000 2024,1,@_panski Gw lebih mendidih karena kita tidak berusaha semaksimal mungkin agar RUU Perampasan Aset disahkan (walaupun hampir mustahil) Beginian jgn lu pusingin Lu uda tau siapapun yg naik sama aja Selama koruptor dilindungi ,1.83949207667075E+018,,_panski,in,,0,0,0,https://x.com/undefined/status/1839492076670755256,65366877,
1.83883924912017E+018,Wed Sep 25 07:13:35 +0000 2024,1,Formappi: Nasib RUU Perampasan Aset Tergantung Political Will Prabowo https://t.co/PNqqcSjXXD https://t.co/93PHx3tbj6,1.83883924912017E+018,https://pbs.twimg.com/media/GYTejZQakAAox98.jpg,,in,,0,0,0,https://x.com/undefined/status/1838839249120170460,23343960,
1.83844488507205E+018,Wed Sep 25 03:09:29 +0000 2024,0,@rizkypuetraaa @KDroneHunter @JhonSitorus_18 @jokowi Nguliknya kurang jauh .. Search aja TimeLine saya pakai Keyword Ketua DPR RUU Perampasan Aset Bertebaran tuh kritikan Gue ke PDIP muncul nanti Nah sedangkan Anda sendiri .. Apa pernah Anda Kritik Partai,1.83877781684817E+018,https://pbs.twimg.com/media/GYSmrDwagAAbB5s.jpg,LawlietL69,in,,0,1,0,https://x.com/undefined/status/1838777816848175610,1.52949145060576E+018,
1.8385249632567E+018,Wed Sep 25 01:50:06 +0000 2024,1,@emerson_yuntho @kaesangp Hahahaha kita liat apakah berani?..bpknya ajh minta DPR buru pembahasan RUU perampasan aset kok anaknya begini,1.83875784181098E+018,,emerson_yuntho,in,,0,0,0,https://x.com/undefined/status/1838757841810989181,1.40831161483974E+018,
1.83867272311724E+018,Wed Sep 25 00:47:50 +0000 2024,1,@NalarPolitik_ @papijames1964 @PDI_Perjuangan Buktikan aja omongannya ga usah orasi seolah pling bner. Menginfluense sluruh anggota DPR agar secptnya mensahkan RUU Perampasan Aset Koruptor aja dulu ga usah ksana kmari bicara sejarah. Manusia itu melihat b,1.83874217079226E+018,,PaltiHutabarat,in,,0,0,2,https://x.com/undefined/status/1838742170792268043,171505851,
1.83871081629374E+018,Tue Sep 24 22:43:14 +0000 2024,6,Sudah tahu kan keluarga penerima gratifikasi dengan private jet ? Ingat gratifikasi itu adalah akar korupsi. Dengan kekuatan suara 80% di DPR mestinya Jokowi dengan mudah mengesahkan RUU Perampasan Aset. Namun faktanya sampai akhir pemerintahan tidak ada kejelasan. https://t.co/SGVdUGZ7Pd,1.83871081629374E+018,https://pbs.twimg.com/ext_tw_video_thumb/1838710794730790912/pu/img/FRZA7mfeuI3m6KZs.jpg,,in,,0,1,5,https://x.com/undefined/status/1838710816293748801,1.6445221274152E+018,
1.8383955182105E+018,Tue Sep 24 14:46:17 +0000 2024,0,@kompascom Langsung aja bukti nyata .. dalam sebulan sah kan RUU perampasan aset koruptor.,1.83859078464552E+018,,kompascom,in,,0,0,0,https://x.com/undefined/status/1838590784645529863,551201199,
1.8289878906025E+018,Tue Sep 24 09:37:25 +0000 2024,1,@davidsoorabaya Si goblok yo malah koe blok ketokmen utekmu neng dengkul SAHKAN RUU PERAMPASAN ASET! Ojo kokean omong tpi ming di nggo pengalihan isu. Klo emang presiden punya keseriusan merampungkan ruu perampasan aset ya ayo buktiin jgn omon-omon doang ,1.83851305581638E+018,,davidsoorabaya,in,,0,1,0,https://x.com/undefined/status/1838513055816388718,1323509774,
1.83850132161341E+018,Tue Sep 24 08:52:54 +0000 2024,0,@geloraco KIRAIN DEMO RUU PERAMPASAN ASET KORUPTOR..,1.83850185285137E+018,,geloraco,in,,0,0,0,https://x.com/undefined/status/1838501852851376233,1.49283301964817E+018,
1.83824449365881E+018,Tue Sep 24 06:40:35 +0000 2024,0,@kompascom semoga good will itu memang ada jika beliau sudah menjadi pemimpin ditunggu sahnya RUU Perampasan Aset. semoga cepat terwujud biar tikus berdasi mikir dulu kalaun mau korup. kalo engga hukum mati juga bagus kalau nominalnya banyak biar gak nyal,1.83846855778674E+018,,kompascom,in,,0,0,0,https://x.com/undefined/status/1838468557786747385,1.72940370151174E+018,
1.83805683175695E+018,Tue Sep 24 03:47:30 +0000 2024,0,@surabaya_s53211 @prabowo @Ber_uang08 @florieliciouss @gtobing2903 @Kimberley_PS08 @mimih6mei @Minietweets_ @Ndons_Back @XiaoMei_99 @are_inismyname @99propaganda RUU PERAMPASAN ASET KORUPTOR kudu di dorong di DPR RI,1.83842499709177E+018,,surabaya_s53211,in,,0,1,0,https://x.com/undefined/status/1838424997091774560,1.18903913883555E+018,
1.83822763843303E+018,Tue Sep 24 03:39:30 +0000 2024,0,@kumparan @prabowo kalau benar membela rakyat &amp,,,,,,,,,,,
1.8380193065522E+018,Tue Sep 24 03:19:35 +0000 2024,0,@DhannyAgus29159 @msaid_didu sahkan dl RUU perampasan aset bang,1.83841797228688E+018,,DhannyAgus29159,in,,0,0,0,https://x.com/undefined/status/1838417972286886045,104150983,
1.83799513294118E+018,Mon Sep 23 21:29:39 +0000 2024,0,@Gamal_Albinsaid Anda memang punya semangat anti korupsi spt itu tapi itu korea2 dealnya bgm dg pimpinan partai lainnya atau deal2 dg penguasa. RUU perampasan aset koruptor aja msh mandek. Rakyat hanya bs berharap,1.83832990946029E+018,,Gamal_Albinsaid,in,,0,0,0,https://x.com/undefined/status/1838329909460295808,1.68627644215663E+018,
1.83799513294118E+018,Mon Sep 23 20:40:53 +0000 2024,0,@Gamal_Albinsaid KAPAN RUU PERAMPASAN ASET JADI UU?? ATW LOOO.SMW CM OMDO,1.83831763548809E+018,,Gamal_Albinsaid,in,,0,0,0,https://x.com/undefined/status/1838317635488092304,1.43091402924597E+018,
1.83796190642825E+018,Mon Sep 23 15:14:05 +0000 2024,0,@Gamal_Albinsaid Ruu perampasan aset koruptor cepet beresin Udah 1 dasawarsa lebih jalan ditempat.,1.83823539413307E+018,,Gamal_Albinsaid,in,,0,0,0,https://x.com/undefined/status/1838235394133070286,109758584,
1.83796190642825E+018,Mon Sep 23 14:10:34 +0000 2024,0,@Gamal_Albinsaid Tolong RUU Perampasan Aset diselesaikan!,1.83821941078138E+018,,Gamal_Albinsaid,in,,0,0,0,https://x.com/undefined/status/1838219410781384743,168122573,
1.83805838691259E+018,Mon Sep 23 12:34:47 +0000 2024,1,@geloraco DPR RI sendiri gak punya wibawa. Terlemah sepanjang sejarah!! RUU perampasan aset koruptor sama sekali gak disentuh. Berlama² dengan pansus haji doang!,1.83819530395212E+018,,geloraco,in,,0,0,0,https://x.com/undefined/status/1838195303952121988,1.48666523559116E+018,
1.83814564716756E+018,Mon Sep 23 10:13:09 +0000 2024,0,@Gerindra @prabowo Update pengesahan RUU perampasan aset koruptor di @DPR_RI apakah masih mandek? mohon pak @prabowo &amp,,,,,,,,,,,
1.83815766125226E+018,Mon Sep 23 10:05:12 +0000 2024,5,RUU perampasan aset aja dulu urusin zer buzzer orang berita duka lo malah kemana-mana,1.83815766125226E+018,,,in,,0,0,0,https://x.com/undefined/status/1838157661252260091,1.7667562144391E+018,
1.83796190642825E+018,Mon Sep 23 09:32:00 +0000 2024,0,@Gamal_Albinsaid Menyetujui RUU Perampasan Aset Koruptor jadi UU,1.83814930600993E+018,,Gamal_Albinsaid,in,,0,0,0,https://x.com/undefined/status/1838149306009936243,1.78237178026051E+018,
1.8380396488176E+018,Mon Sep 23 06:53:06 +0000 2024,0,@tempodotco wajib dibubarkan sih mereka mengesahkan ruu yg menUNTUNgkan mereka giliran RUu perlindungan art dll belum disahkan jg BTW request uu perampasan aset dan penggunaaan uang kartal disahkan sebaiknya saat presidn baru,1.83810931906339E+018,,tempodotco,in,,0,0,0,https://x.com/undefined/status/1838109319063392497,1.45416024302218E+018,
1.83796190642825E+018,Mon Sep 23 04:29:51 +0000 2024,5,@Gamal_Albinsaid Sahkan RUU Perampasan Aset Kembalikan Indepensi KPK Usut tuntas seluruh kejahatan &amp,,,,,,,,,,,
1.83803471745686E+018,Mon Sep 23 02:21:31 +0000 2024,0,@septriasa_acha Harusnya pemerintah bisa dapat duit sangat besar jika mensahkan ruu perampasan aset tapi sayangnya yg dpr dan presiden lebih suka mensahkan uu ciptakerja uu kementerian jual pasir dan lainnya,1.83804097042599E+018,,septriasa_acha,in,,0,0,0,https://x.com/undefined/status/1838040970425999697,62184923,
1.83767454057259E+018,Sun Sep 22 23:25:37 +0000 2024,0,@XJamesWin @Ransep4 @secr3thm4nz56 Makanya didesak spy RUU Perampasan Aset Koruptor disahkan. Jd klo ada pejabat yg terbukti korup hartanya bisa disita negara.,1.83799670508798E+018,,XJamesWin,in,,0,0,0,https://x.com/undefined/status/1837996705087988012,171505851,
1.83747473452065E+018,Sun Sep 22 14:45:58 +0000 2024,1,@lolina_321lagi @PDI_Perjuangan Berarti @DPR_RI ndak setuju dengan UU Perampasan Aset. Rakyat udah tau sejak dahulu. Politisi mbulet https://t.co/PLLF96RuYL,1.83786592997315E+018,,Blues_321lagi,in,,0,0,0,https://x.com/undefined/status/1837865929973154249,1.67936892659211E+018,
1.83785790997333E+018,Sun Sep 22 14:14:06 +0000 2024,0,Waduuh sudah mau turun kebuka semua apa ga makin ancuuur ayoo proses RUU perampasan aset biar bisa nutup hutang negara,1.83785790997333E+018,,,in,,0,0,0,https://x.com/undefined/status/1837857909973332066,8.04469226119364E+017,
1.83750819316733E+018,Sun Sep 22 10:57:58 +0000 2024,1,@Sir_lilac @narkosun @afishare23 RUU PERAMPASAN ASET cba deh partai2 kubu jokowi yg mayoritas di DPR di setujui gampang kok https://t.co/zFshvMRIS2,1.83780855349692E+018,https://pbs.twimg.com/ext_tw_video_thumb/1837808416443846658/pu/img/4D3E9wCp78BtyNgC.jpg,Sir_lilac,in,,0,0,0,https://x.com/undefined/status/1837808553496924295,1.56715862455183E+018,
1.83745925861653E+018,Sun Sep 22 08:10:55 +0000 2024,0,@detikcom Menurut saya sistem penegakan hukumnya yang harus ketat dan sahkan ruu perampasan aset mau gaji seberapa tpi kalau ditauin jika korupsi akan di hukum mati atau dimiskinkan yakin dah calon2 koruptor itu mikir 2x kalau mau coba2 di negara ini,1.83776651394179E+018,,detikcom,in,,0,0,0,https://x.com/undefined/status/1837766513941795306,1966185782,
1.83771299452628E+018,Sun Sep 22 04:38:15 +0000 2024,1,Presiden Selalu Mendorong Untuk Pengesahan RUU Perampasan Aset Khilaf Big L Malming Papua Zirkzee https://t.co/x8svLZLZHu,1.83771299452628E+018,https://pbs.twimg.com/ext_tw_video_thumb/1837712339057233922/pu/img/zwnwLOVGcZtRiu01.jpg,,in,,0,0,1,https://x.com/undefined/status/1837712994526286260,1.79059217019976E+018,
1.83771152009001E+018,Sun Sep 22 04:32:24 +0000 2024,1,Presiden Selalu Mendorong Untuk Pengesahan RUU Perampasan Aset Khilaf MINGGIR LU MISKIN Big L Malming https://t.co/MRQKXLDQNO,1.83771152009001E+018,https://pbs.twimg.com/ext_tw_video_thumb/1837710409283129350/pu/img/txozhKLxseJpW_tx.jpg,,in,,0,0,1,https://x.com/undefined/status/1837711520090017995,1.75432413480762E+018,
1.83747473452065E+018,Sun Sep 22 04:22:40 +0000 2024,0,@dayhan_idea @lolina_321lagi @PDI_Perjuangan Lebih baik baca dulu draft Final RUU perampasan aset setelah baca lu pasti tidak ingin di sahkan RUU itu jadi UU kalau hanya untuk Pegawai Negeri atau Penyelenggara Negara saja pasti cepat itu di sahkan jd UU o,1.83770907386706E+018,,aasikinn27,in,,0,0,0,https://x.com/undefined/status/1837709073867067411,2661239670,
1.83747473452065E+018,Sun Sep 22 04:16:29 +0000 2024,0,@dayhan_idea @lolina_321lagi @PDI_Perjuangan mungkin bu Puan sudah tahu bahwa RUU perampasan aset itu utk setiap orang WNI. Bukan hanya Pejabat saja. Harta lu juga bisa di sita semuanya jika ada transferan dari Koruptor. Lu harus bisa buktikan di pengadil,1.8377075174276E+018,,dayhan_idea,in,,0,1,0,https://x.com/undefined/status/1837707517427605787,2661239670,
1.83747473452065E+018,Sun Sep 22 04:11:29 +0000 2024,0,@lolina_321lagi Fyi apakah tahu RUU perampasan aset untuk setiap orang WNI yg terbukti korupsi trus lu ada terima uang dari Koruptor. Lu harus buktikan jika Uang yg di transfer oleh Koruptor itu bukan hasil dari korupsi si Koruptor di Pengadilan. Jika tid,1.83770625679214E+018,,Blues_321lagi,in,,0,0,0,https://x.com/undefined/status/1837706256792146244,2661239670,
1.83768828520586E+018,Sun Sep 22 03:00:04 +0000 2024,1,FOKUS | VIDEO REPLAY Mengapa RUU Perampasan Aset Penting untuk Disahkan https://t.co/tunjpCIQPP #RUUPerampasanAset #Korupsi #PPATK #KPK #Fokus #tvtempo https://t.co/6h0XUwzW9G,1.83768828520586E+018,https://pbs.twimg.com/media/GYDHwXKWUAAovxG.jpg,,in,,0,0,0,https://x.com/undefined/status/1837688285205868694,3179542928,
1.83730634515613E+018,Sun Sep 22 02:53:31 +0000 2024,0,@fatimah_wike @djokokris @Kanseulir Harusnya kita desak DPR agar RUU perampasan aset di sah kan ayo bikin demo lg kaya kmrn pas peringatan darurat.soalnya RUU itu kan mandeg di DPR.,1.83768663705018E+018,,fatimah_wike,in,,0,0,0,https://x.com/undefined/status/1837686637050184129,830600030,
1.83730634515613E+018,Sun Sep 22 02:49:38 +0000 2024,1,@Priyo__Muhammad @Kanseulir Makanya RUU perampasan aset didorong lah ayo bikin trending kaya peringatan darurat kmrn.ayo lah demo lagi mahasiswa dan rakyat biar dia bisa diadili.,1.83768565825892E+018,,Priyo__Muhammad,in,,0,0,0,https://x.com/undefined/status/1837685658258928052,830600030,
1.8374402993894E+018,Sun Sep 22 00:07:13 +0000 2024,0,@eri_volution @TheArieAir Kalo KIM+ kuat RUU perampasan aset harusnya segera disahkan. Menguasai 80% DPR khan?,1.83764478687627E+018,,eri_volution,in,,0,1,0,https://x.com/undefined/status/1837644786876273031,22926743,
